lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.601573,127.011742,24.08.09.,정릉꿈에그린,43000,2015,349,우이신설,정릉역,260.0,59.63,올 확장O 집깨끗O 전망트임O 초역세권O 근처에 산책로 ,"['10년이내', '융자금없는', '역세권', '방세개']",계단식,1.13,2,13,남동향,3,2,https://map.kakao.com/?q=서울시 성북구 정릉동 1037&service=opensearch,https://fin.land.naver.com/articles/2439093455
37.60288,127.10916,24.08.16.,중랑숲금호어울림,30000,2006,686,경의중앙,양원역,581.0,59.96,"남향, 2베이, 확장형, 방3개.화장실1개, 양원역. 초,중,고 인접","['25년이내', '융자금없는', '방세개', '화장실한개']",계단식,1.2,고,15,남향,3,1,https://map.kakao.com/?q=서울시 중랑구 망우동 580&service=opensearch,https://fin.land.naver.com/articles/2440425328
37.60288,127.10916,24.07.26.,중랑숲금호어울림,35000,2006,686,경의중앙,양원역,581.0,59.96,"남향, 2베이, 확장형, 방3개.화장실1개, 양원역. 초,중,고 인접 ","['25년이내', '융자금없는', '방세개', '화장실한개']",복합식,1.2,고,15,남향,3,1,https://map.kakao.com/?q=서울시 중랑구 망우동 580&service=opensearch,https://fin.land.naver.com/articles/2436928946
37.60288,127.10916,24.07.27.,중랑숲금호어울림,35000,2006,686,경의중앙,양원역,581.0,59.96,"남향, 2베이, 확장형, 방3개.화장실1개, 양원역. 초,중,고 인접 ","['25년이내', '융자금없는', '방세개', '화장실한개']",계단식,1.2,고,15,남향,3,1,https://map.kakao.com/?q=서울시 중랑구 망우동 580&service=opensearch,https://fin.land.naver.com/articles/2436988860
37.616916,127.009398,24.08.10.,정릉풍림아이원,37000,2005,1971,우이신설,북한산보국문역,907.0,59.88,남향 올수리 상태최상 깨끗 탁트인 남산타워전망 북한산자락의쾌적한공기가득,"['25년이내', '융자금없는', '올수리', '대단지']",복도식,1.2,중,18,남향,3,1,https://map.kakao.com/?q=서울시 성북구 정릉동 239&service=opensearch,https://fin.land.naver.com/articles/2439380525
37.633478,127.026852,24.07.27.,미아요진,30000,2005,123,4호선,수유역,652.0,59.42,"미아 요진아파트 고층 전세, 상태 양호, 막힘 없음, 지하 주차장","['25년이내', '융자금없는', '화장실한개', '방세개']",복도식,0.96,14,15,서향,3,1,https://map.kakao.com/?q=서울시 강북구 미아동 152&service=opensearch,https://fin.land.naver.com/articles/2436987547
37.601262,127.030647,24.08.16.,래미안크리시엘,37000,2004,1168,4호선,길음역,763.0,59.99,"거실,작은방 확장,아침 햇살이 잘드는집,4호선 길음역 도보로 이용 가능","['25년이내', '대단지', '방세개', '화장실한개']",계단식,1.15,중,20,남동향,3,1,https://map.kakao.com/?q=서울시 성북구 종암동 80&service=opensearch,https://fin.land.naver.com/articles/2440327062
37.620037,127.009776,24.08.14.,벽산라이브파크,35000,2004,1585,우이신설,솔샘역,397.0,60.0,"급전세,확장형,계단식구조, 도배장판해줍니다.","['25년이내', '융자금없는', '대단지', '방세개']",계단식,1.18,17,18,남서향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1354&service=opensearch,https://fin.land.naver.com/articles/2439983764
37.640483,127.033877,24.07.29.,수산트리플,35000,2004,111,4호선,수유역,911.0,59.86,"초강추,방3화2,올수리상태좋음,밝은집,귀한월세,3BAY우이천바로쌍문역도보","['25년이내', '올수리', '방세개', '화장실두개']",계단식,1.02,저,15,남서향,3,2,https://map.kakao.com/?q=서울시 도봉구 창동 817&service=opensearch,https://fin.land.naver.com/articles/2437293445
37.616898,127.01368,24.08.08.,SK북한산시티,36000,2004,3830,우이신설,솔샘역,307.0,59.98,올확장 작은방확장 화장실수리,"['25년이내', '대단지', '욕실수리', '방세개']",계단식,1.25,4,25,동향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1353&service=opensearch,https://fin.land.naver.com/articles/2438949236
37.62112,127.010985,24.07.29.,벽산라이브파크,37000,2004,1585,우이신설,솔샘역,397.0,59.67,"올수리후입주,입주협의.","['25년이내', '융자금없는', '올수리', '역세권']",복도식,1.18,저,25,남동향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1354&service=opensearch,https://fin.land.naver.com/articles/2437278662
37.674619,127.051175,24.08.06.,상계대림(1301),32000,2002,230,7호선,수락산역,629.0,55.77,깔끔하게올수리된 방3욕1 구조로 12월말입주가능합니다,"['25년이내', '올수리', '방세개', '화장실한개']",복도식,1.1,6,16,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1301&service=opensearch,https://fin.land.naver.com/articles/2438628960
