lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo,dates
37.656124,127.028234,24.08.08.,한양6차,33000,2002,582,,,,83.86,수리상태  양호,"['25년이내', '방세개', '화장실두개', '주차가능']",계단식,1,5,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 쌍문동 59-5&service=opensearch,https://fin.land.naver.com/articles/2438941011,['24.08.08.']
37.545926,127.134661,24.08.08.,한신,35000,1991,224,5호선,굽은다리역,811.0,57.84,로열층 동향으로 깨끗하게 부분 수리된 저렴하고 살기좋은 아파트,"['25년이상', '융자금적은', '방세개', '화장실한개']",복도식,0.37,7,14,동향,3,1,https://map.kakao.com/?q=서울시 강동구 천호동 237&service=opensearch,https://fin.land.naver.com/articles/2438970699,['24.08.08.']
37.374534,127.140653,24.08.09.,효자촌대명,34000,1995,144,,,,58.95,깨끗 융무  양영학군,"['25년이상', '1층', '방세개', '화장실한개']",계단식,1,1,4,남서향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 서현동 323&service=opensearch,https://fin.land.naver.com/articles/2439096585,['24.08.09.']
37.661904,127.013651,24.08.09.,성원,35000,1990,262,우이신설,북한산우이역,253.0,84.98,남향 내부특급올수리 방3 화2 빠른 입주가능,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,0.8,5,15,남향,3,2,https://map.kakao.com/?q=서울시 강북구 우이동 1&service=opensearch,https://fin.land.naver.com/articles/2439190145,['24.08.09.']
37.626645,127.039618,24.08.09.,번동솔그린,30500,1999,380,,,,59.82,씽크대 교체해줌,"['25년이내', '융자금없는', '방세개', '화장실한개']",복도식,0.81,저,18,남동향,3,1,https://map.kakao.com/?q=서울시 강북구 번동 136&service=opensearch,https://fin.land.naver.com/articles/2439193864,['24.08.09.']
37.661904,127.013651,24.08.10.,성원,35000,1990,262,우이신설,북한산우이역,253.0,84.98,우이역앞.특올수리.남향.전세대출보증보험가.엘베.주차,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,0.8,저,15,남향,3,2,https://map.kakao.com/?q=서울시 강북구 우이동 1&service=opensearch,https://fin.land.naver.com/articles/2439258106,['24.08.10.']
37.679046,127.045881,24.08.12.,래미안도봉,37000,2005,448,1호선,도봉역,268.0,59.25,전망 굿  깨끗  입주 협의,"['25년이내', '융자금없는', '역세권', '방세개']",복합식,1,중,17,남서향,3,1,https://map.kakao.com/?q=서울시 도봉구 도봉동 655&service=opensearch,https://fin.land.naver.com/articles/2439623987,['24.08.12.']
37.681612,127.054635,24.08.12.,은빛1단지,32000,1998,1391,7호선,수락산역,402.0,59.92,"내부올수리집이며 채광좋은 남향집, 빠른입주도 가능해요.","['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.56,6,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2439582161,"['24.08.12.', '24.08.05.']"
37.579166,126.819654,24.08.12.,마곡서광,32000,1998,284,5호선,방화역,971.0,59.67,"추천, 살기 좋은 집 , 수리됨, LED등, 숲세권","['25년이상', '방세개', '화장실한개', '세대당1대']",계단식,1,저,16,남동향,3,1,https://map.kakao.com/?q=서울시 강서구 방화동 860&service=opensearch,https://fin.land.naver.com/articles/2439617461,"['24.08.12.', '24.07.11.']"
37.62683,127.03046,24.08.12.,미아신구,30000,2000,105,4호선,미아역,508.0,59.41,은행대출가능 보증보험가능 주차편리 남서향,"['25년이내', '융자금적은', '방세개', '화장실한개']",계단식,1,저,12,남서향,3,1,https://map.kakao.com/?q=서울시 강북구 미아동 1352&service=opensearch,https://fin.land.naver.com/articles/2439432029,"['24.08.12.', '24.07.11.']"
37.672186,127.056738,24.08.13.,상계우방,36000,2000,274,7호선,수락산역,611.0,59.93,수리  입주 협의 가능 지하주차장 2층 연결됨,"['25년이내', '융자금없는', '방세개', '화장실한개']",계단식,1.39,8,19,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1295&service=opensearch,https://fin.land.naver.com/articles/2439754669,"['24.08.13.', '24.07.10.', '24.08.07.']"
37.512197,126.830912,24.08.13.,신정이펜하우스3단지,37000,2011,1339,,,,59.93,"이펜중심단지 로얄동 채광굿 깨끗, 12월중순이후","['15년이내', '대단지', '방세개', '화장실두개']",계단식,1.1,저,15,남서향,3,2,https://map.kakao.com/?q=서울시 양천구 신정동 1316&service=opensearch,https://fin.land.naver.com/articles/2439688939,['24.08.13.']
37.659913,127.031064,24.08.13.,벽산1차,28000,1991,489,,,,63.38,올수리 정상,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,0,9,15,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 방학동 275&service=opensearch,https://fin.land.naver.com/articles/2439687341,['24.08.13.']
37.656122,127.029084,24.08.13.,한양6차,35000,2002,582,,,,83.86,"수리,입주일협의,도배장판해줌,조용한동,학군굿,채광좋음","['25년이내', '방세개', '화장실두개', '저층']",계단식,0.71,2,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 쌍문동 59-5&service=opensearch,https://fin.land.naver.com/articles/2439817722,['24.08.13.']
37.65746,127.02702,24.08.13.,청구,37000,1994,978,,,,84.97,내부 수리 초당초 선덕중고 명문 학군 정상 입주 되요,"['25년이상', '융자금없는', '화장실두개', '방세개']",계단식,0.65,2,14,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 734&service=opensearch,https://fin.land.naver.com/articles/2439821031,['24.08.13.']
37.6632,127.07862,24.08.15.,청암2단지,25000,2001,602,4호선,상계역,755.0,59.4,내부 깨끗하고 불암산 조망권 우수합니다  ,"['25년이내', '방세개', '화장실한개', '중층']",복합식,0.76,중,20,남동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1276&service=opensearch,https://fin.land.naver.com/articles/2440193444,['24.08.15.']
37.617401,127.009154,24.08.16.,정릉풍림아이원,33000,2005,1971,우이신설,북한산보국문역,907.0,59.88,기본형 산책로 조망 집상태 깔끔한 집 빠른 입주 가능,"['25년이내', '대단지', '방세개', '화장실한개']",복도식,1.2,9,18,동향,3,1,https://map.kakao.com/?q=서울시 성북구 정릉동 239&service=opensearch,https://fin.land.naver.com/articles/2440272534,['24.08.16.']
